"","stemcell1","stemcell2","mesodermal1","mesodermal2","ectodermal1","ectodermal2","endodermal1","endodermal2"
"ENSG00000000003.14",1687,2130,3084,2347,2692,2773,4144,2966
"ENSG00000000005.5",32,41,3,5,2,1,3,4
"ENSG00000000419.12",751,1057,965,805,745,758,930,716
"ENSG00000000457.13",207,222,419,331,290,255,529,346
"ENSG00000000460.16",543,831,697,565,631,542,692,555
"ENSG00000001036.13",956,1437,1321,988,1441,1240,1044,803
"ENSG00000001084.12",936,1499,1040,758,385,364,1087,852
"ENSG00000001167.14",1035,1502,2283,1805,1715,1414,2415,1921
"ENSG00000001460.17",195,194,307,255,261,223,484,349
"ENSG00000001461.16",166,198,435,365,643,555,523,391
"ENSG00000001497.16",1103,1575,1705,1193,962,794,1782,1304
"ENSG00000001561.6",217,271,430,356,102,92,681,586
"ENSG00000001617.11",938,787,1377,1184,1173,911,1836,1449
"ENSG00000001626.15",26,32,18,6,15,18,14,10
"ENSG00000001629.9",1281,1721,1815,1637,1703,1576,2080,1496
"ENSG00000001630.16",3526,4954,4355,3604,4125,3802,2252,1696
"ENSG00000001631.15",616,846,1210,874,732,804,1215,960
"ENSG00000002016.17",214,261,796,546,466,421,797,604
"ENSG00000002330.13",211,275,479,406,420,359,455,352
"ENSG00000002549.12",830,1489,789,622,697,651,983,722
"ENSG00000002586.19",821,789,3578,2796,6757,6048,2050,1564
"ENSG00000002587.9",166,178,390,283,224,201,23,17
"ENSG00000002746.14",72,105,99,47,16,3,21,19
"ENSG00000002822.15",450,591,833,604,697,535,777,660
"ENSG00000002834.17",4026,6186,5619,4598,6387,5277,5440,3932
"ENSG00000002919.14",366,529,472,356,309,245,663,480
"ENSG00000002933.8",5,5,130,76,6,3,60,24
"ENSG00000003056.7",1554,2315,2629,1982,2531,2024,2797,2065
"ENSG00000003096.14",393,453,709,629,197,184,874,676
"ENSG00000003137.8",165,110,478,371,33,26,109,85
"ENSG00000003147.18",301,354,152,106,312,270,171,135
"ENSG00000003249.13",980,1346,876,666,195,190,1045,729
"ENSG00000003393.14",1314,1717,1973,1638,1715,1445,2385,1791
"ENSG00000003400.14",73,105,39,36,212,154,38,37
"ENSG00000003402.19",293,329,1308,1265,1879,1375,559,343
"ENSG00000003436.15",698,783,896,1037,11058,10930,1054,964
"ENSG00000003509.15",362,584,598,365,342,280,522,395
"ENSG00000003756.16",2120,2561,7901,5386,4444,3775,8865,5985
"ENSG00000003987.13",104,148,178,104,12,11,293,218
"ENSG00000003989.17",580,816,478,399,1019,905,399,351
"ENSG00000004059.10",1679,2428,2909,2210,2319,1830,3297,2453
"ENSG00000004139.13",149,275,666,513,485,513,399,241
"ENSG00000004142.11",1148,1795,1684,1264,1380,1212,1791,1229
"ENSG00000004399.12",1663,1625,2408,2148,14216,9206,1065,800
"ENSG00000004455.16",1273,2005,2298,1648,1133,992,1618,1176
"ENSG00000004478.7",3369,5024,3085,2327,3054,2480,2195,1610
"ENSG00000004487.16",5824,7626,9427,7681,5441,4918,10661,7884
"ENSG00000004534.14",1767,2523,4348,3244,2533,2243,3781,2883
"ENSG00000004660.14",136,166,272,221,130,91,223,190
"ENSG00000004700.15",1128,1510,1342,1136,1924,1928,1584,1348
"ENSG00000004766.16",251,329,600,507,305,406,560,455
"ENSG00000004776.12",9,4,7,10,12,19,15,6
"ENSG00000004777.18",509,622,2596,1788,525,451,1051,809
"ENSG00000004779.9",936,1506,1234,886,984,1020,1122,866
"ENSG00000004799.7",1,0,66,24,76,54,7,5
"ENSG00000004838.13",3,8,62,33,6,8,51,23
"ENSG00000004848.7",1,0,33,19,0,0,203,101
"ENSG00000004864.13",2050,3175,2211,1896,1401,1197,2335,1815
