"ensembl_gene_id","hgnc_symbol","chromosome_name","start_position","end_position","strand"
"ENSG00000000003","TSPAN6","X",100627108,100639991,-1
"ENSG00000000005","TNMD","X",100584936,100599885,1
"ENSG00000000419","DPM1","20",50934867,50959140,-1
"ENSG00000000457","SCYL3","1",169849631,169894267,-1
"ENSG00000000460","C1orf112","1",169662007,169854080,1
"ENSG00000001036","FUCA2","6",143494812,143511720,-1
"ENSG00000001084","GCLC","6",53497341,53616970,-1
"ENSG00000001167","NFYA","6",41072974,41102403,1
"ENSG00000001460","STPG1","1",24356999,24416934,-1
"ENSG00000001461","NIPAL3","1",24415802,24472976,1
"ENSG00000001497","LAS1L","X",65438549,65534810,-1
"ENSG00000001561","ENPP4","6",46129989,46146688,1
"ENSG00000001617","SEMA3F","3",50155045,50189075,1
"ENSG00000001626","CFTR","7",117287120,117715971,1
"ENSG00000001629","ANKIB1","7",92245974,92401383,1
"ENSG00000001630","CYP51A1","7",92084987,92134803,-1
"ENSG00000001631","KRIT1","7",92197498,92246166,-1
"ENSG00000002016","RAD52","12",911736,990053,-1
"ENSG00000002330","BAD","11",64269830,64284704,-1
"ENSG00000002549","LAP3","4",17577198,17607972,1
"ENSG00000002586","CD99","X",2691187,2741309,1
"ENSG00000002587","HS3ST1","4",11393150,11429564,-1
"ENSG00000002746","HECW1","7",43112629,43566001,1
"ENSG00000002822","MAD1L1","7",1815793,2233243,-1
"ENSG00000002834","LASP1","17",38869859,38921770,1
"ENSG00000002919","SNX11","17",48103357,48123601,1
"ENSG00000002933","TMEM176A","7",150800403,150805118,1
"ENSG00000003056","M6PR","12",8940361,8949761,-1
"ENSG00000003096","KLHL13","X",117897813,118117340,-1
"ENSG00000003137","CYP26B1","2",72129238,72147862,-1
"ENSG00000003147","ICA1","7",8113184,8262687,-1
"ENSG00000003249","DBNDD1","16",90004871,90019890,-1
"ENSG00000003393","ALS2","2",201700267,201782112,-1
"ENSG00000003400","CASP10","2",201182872,201229428,1
"ENSG00000003402","CFLAR","2",201116154,201176687,1
"ENSG00000003436","TFPI","2",187464230,187565760,-1
"ENSG00000003509","NDUFAF7","2",37231631,37253403,1
"ENSG00000003756","RBM5","3",50088919,50119021,1
"ENSG00000003987","MTMR7","8",17296794,17413528,-1
"ENSG00000003989","SLC7A2","8",17497088,17570573,1
"ENSG00000004059","ARF5","7",127588386,127591700,1
"ENSG00000004139","SARM1","17",28364356,28404049,1
"ENSG00000004142","POLDIP2","17",28346633,28357527,-1
"ENSG00000004399","PLXND1","3",129555214,129606676,-1
"ENSG00000004455","AK2","1",33007986,33080996,-1
"ENSG00000004478","FKBP4","12",2794970,2805423,1
"ENSG00000004487","KDM1A","1",23019443,23083689,1
"ENSG00000004534","RBM6","3",49940007,50100045,1
"ENSG00000004660","CAMKK1","17",3860315,3894891,-1
"ENSG00000004700","RECQL","12",21468910,21501669,-1
"ENSG00000004766","VPS50","7",93232340,93361123,1
